crash_id,check_id,check_name,check_category,issue_severity,check_status,issue_description,reporting_impact,recommended_action,crash_year,crash_financial_year,crash_severity,fatal_count,serious_injury_count,minor_injury_count,region,tla_id,tla_name,area_unit_id,meshblock_id,crash_location_1,crash_location_2
76675,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,513410,221902,SH 18,UPPER HARBOUR BR
77043,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,512402,253700,SH 16,TE ATATU OFF WBD
80121,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304200,BARRYS POINT ROAD,ESMONDE ROAD
81488,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359200,SH 1N,ONEWA ON SBD
84297,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,513632,228702,TRIANGLE ROAD,LINCOLN ROAD
85968,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,512402,253700,SH 16,TE ATATU OFF WBD
86297,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,1,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
86469,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,76,Auckland,522920,683000,PAKURANGA HIGHWAY,TI RAKAU DRIVE
86960,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304000,ESMONDE ON SBD,BARRYS POINT ROAD
87047,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
87224,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304000,ESMONDE OFF NBD,BARRYS POINT ROAD
87741,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,23,Tauranga City,538202,1162800,SH 2,MIRRIELEES ROAD
87916,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,4,,76,Auckland,509800,359300,SH 1N,STAFFORD OFF NBD
88106,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304200,BARRYS POINT ROAD,ESMONDE ROAD
88242,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,3,Kaipara District,505021,135202,TOMARATA ROAD,BLACK SWAMP ROAD
88481,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,2,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
88671,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
88721,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359200,SH 1N,SHELLY OFF SBD
88881,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
89327,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Serious Crash,0,1,0,,76,Auckland,522920,683000,PAKURANGA HIGHWAY,WAIPUNA ROAD
89674,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,76,Auckland,513301,230200,SH 16,LINCOLN OBR
89994,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY BEACH OBR
90320,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,512402,253700,SH 16,TE ATATU OFF WBD
90367,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304200,BARRYS POINT ROAD,ESMONDE ROAD
92061,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
92540,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
92634,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
93370,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,514801,389300,SH 16,TE ATATU OFF WBD
93853,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304000,ESMONDE OFF NBD,BARRYS POINT ROAD
93987,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
94001,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
94284,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,ONEWA ON SBD
94463,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Serious Crash,0,1,0,,71,Dunedin City,601500,2863601,ARAMOANA ROAD,HAMILTON BAY
94639,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Serious Crash,0,1,2,,42,Horowhenua District,561300,1782501,Z BCH BEACH FOXTON,MARINE/OCEAN BEACH
94923,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,2,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
95092,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,513632,228701,SH 16,HURUHURU CK BR
95261,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,513301,231700,SH 16,LINCOLN ON WBD
95489,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
95524,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304000,ESMONDE ON SBD,BARRYS POINT ROAD
95634,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,60,Christchurch City,594020,2589600,HUMPHREYS DRIVE,TIDAL VIEW
95963,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
95976,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,507900,304000,ESMONDE OFF NBD,BARRYS POINT ROAD
96038,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
96079,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
96097,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,513301,230301,SH 16,LINCOLN OFF WBD
96109,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304000,ESMONDE ON SBD,BARRYS POINT ROAD
96304,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
97005,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,1,,76,Auckland,514801,389300,SH 16,TE ATATU OFF WBD
97207,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,514801,389300,SH 16,TE ATATU OFF WBD
97296,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
97467,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
97499,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
98003,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,507900,304200,BARRYS POINT ROAD,ESMONDE ROAD
98090,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
98107,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,23,Tauranga City,538202,1162800,SH 2,MIRRIELEES ROAD
98166,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,523202,717502,WHITFORD ROAD,MAUNGAMAUNGAROA BR
98263,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,2,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
98661,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,2,,76,Auckland,519820,602503,SH 20,ONEHUNGA OFF NBD
98953,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
99045,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Minor Crash,0,0,1,,76,Auckland,524002,722000,SH 20,RIMU ON NBD
99284,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
99417,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
99501,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,513301,230301,SH 16,LINCOLN OFF WBD
99720,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Serious Crash,0,1,0,,76,Auckland,523102,718003,WHITFORD ROAD,SOMERVILLE ROAD
100120,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,1,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
100361,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY BEACH OBR
100830,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,FANSHAWE ON NBD
100935,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
101078,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,FANSHAWE OFF SBD
101353,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,512300,252000,SH 16,TE ATATU OBR
101419,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,512402,253700,SH 16,TE ATATU OBR
101658,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,1,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
101843,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,CURRAN ON NBD
102006,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Serious Crash,0,1,0,,43,Kapiti Coast District,564023,1884001,Z BCH TE HORO,TE HORO
102008,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,523912,767803,SH 1N,PAHUREHURE NO 1 BR
102196,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Serious Crash,0,1,0,,60,Christchurch City,594020,2589600,HUMPHREYS DRIVE,TIDAL VIEW
102200,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,1,,76,Auckland,514801,389300,SH 16,PATIKI OFF EBD
102216,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,1,,76,Auckland,507900,304200,ESMONDE ROAD,BARRYS POINT ROAD
102219,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,STAFFORD OFF NBD
103066,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
103410,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
103536,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Minor Crash,0,0,1,,13,Waikato District,526500,854600,WAINUI ROAD,WHITLEY ST
103556,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
103572,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,513431,221903,SH 18,UPPER HARBOUR BR
103602,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,521201,806604,SH 1N,PAHUREHURE NO 2 BR
104272,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
105226,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,521301,808701,SH 1N,DRURY ON NBD
105274,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,509800,359300,SH 1N,SHELLY OFF SBD
105296,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,523912,767803,SH 1N,BEACH OBR
105346,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
105380,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,523912,767803,SH 1N,WALTER STREVENS OBR
105591,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,2000/2001,Non-Injury Crash,0,0,0,,76,Auckland,515202,423600,SH 1N,SHELLY OFF SBD
